label,pattern,attr,replace
part,abdomen,lower,
part,head,lower,
part,thorax,lower,
sclerotin,sclerotin,lower,sclerotized
sclerotin,sclerotization,lower,sclerotized
sclerotin,sclerotized,lower,sclerotized
seta,chaeta,lower,
seta,cheta,lower,
seta,seta,lower,
seta,setaceous,lower,
seta,setae,lower,
seta,setose,lower,
seta,setula,lower,
sex,♀,lower,female
sex,♀♀,lower,female
sex,♂,lower,male
sex,♂♂,lower,male
sex,female,lower,female
sex,females,lower,female
sex,male,lower,male
sex,males,lower,male
sex,n,lower,nymph
sex,nymph,lower,nymph
sex,nymphs,lower,nymph
units,centimeters,lower,cm
units,cm,lower,cm
units,kilometer,lower,km
units,km,lower,km
units,m,lower,m
units,meters,lower,m
units,millimeters,lower,mm
units,mm,lower,mm
units,µm,lower,µm
