label,pattern,attr,replace
dna_count,base pairs,lower,
dna_count,bp,lower,base pairs
group,each side,lower,
group,pair of,lower,
sclerotin,sclerotin,lower,sclerotized
sclerotin,sclerotised,lower,sclerotized
sclerotin,sclerotization,lower,sclerotized
sclerotin,sclerotized,lower,sclerotized
segmented,segmented,lower,
stop,.,lower,
stop,;,lower,
stop,", with",lower,
type,allotype,lower,allotype
type,allotypes,lower,allotype
type,holotype,lower,holotype
type,holotypes,lower,holotype
type,paratype,lower,paratype
type,paratypes,lower,paratype
